customer_id,date_of_birth,borough,neighborhood,zip_code,name
104,null,BROOKLYN,NORTHWEST BROOKLYN,11215,"Schmitt, Marlene"
106,01-01-1999,BROOKLYN,FLATBUSH,11203,"Engel, Lara"
111,null,MANHATTAN,GRAMERCY PARK AND MURRAY HILL,10017,"Sauer, Noah"
112,01-01-2000,MANHATTAN,CHELSEA AND CLINTON,10019,"Michel, Mila"
113,18-05-2009,STATEN ISLAND,STAPLETON AND ST. GEORGE,10301,"Seidel, Leni"
115,16-05-2005,QUEENS,CENTRAL QUEENS,11365,"Schreiber, Laurin"
117,12-11-2010,QUEENS,SOUTHEAST QUEENS,11005,"Schuster, Frieda"
128,23-10-1997,MANHATTAN,CENTRAL HARLEM,10027,"Stephan, Alexander"
130,12-11-2010,STATEN ISLAND,PORT RICHMOND,10303,"Schilling, Leni"
136,01-01-1999,BROOKLYN,SOUTHERN BROOKLYN,11229,"Klein, Malte"
137,01-01-1999,BRONX,HIGH BRIDGE AND MORRISANIA,10456,"Stephan, Frieda"
140,01-01-2000,STATEN ISLAND,PORT RICHMOND,10310,"Förster, Ella"
146,16-05-2005,MANHATTAN,CENTRAL HARLEM,10027,"Michel, Simon"
148,01-01-2000,MANHATTAN,LOWER EAST SIDE,10002,"Krüger, Nils"
149,null,QUEENS,NORTHEAST QUEENS,11364,"Wagner, David"
151,null,QUEENS,ROCKAWAYS,11695,"Berger, Luis"
154,16-05-2005,QUEENS,NORTHEAST QUEENS,11361,"Freitag, Lea"
156,13-04-1993,QUEENS,JAMAICA,11434,"Barth, Nora"
158,null,BRONX,NORTHEAST BRONX,10469,"Schulz, Noah"
165,21-05-1992,BROOKLYN,BOROUGH PARK,11204,"Ludwig, Emil"
167,07-08-1994,BRONX,HIGH BRIDGE AND MORRISANIA,10452,"Ludwig, Jakob"
172,null,QUEENS,JAMAICA,11433,"Freitag, Nele"
179,01-01-2005,QUEENS,SOUTHEAST QUEENS,11005,"Bauer, Philipp"
181,01-01-1999,BRONX,KINGSBRIDGE AND RIVERDALE,10463,"Simon, Samuel"
186,12-11-2010,QUEENS,ROCKAWAYS,11692,"Linke, David"
190,01-01-2000,QUEENS,JAMAICA,11412,"Krämer, Helene"
191,12-11-2010,MANHATTAN,CENTRAL HARLEM,10039,"Heinrich, Hannes"
193,10-06-1978,QUEENS,SOUTHEAST QUEENS,11426,"Pohl, Nora"
